Helena,Delgado,22003113,1981-10-26,4555
Ana Maria,Villalba,30657794,2001-11-21,6806
Miranda,Mora,26190485,1999-03-29,327
Tobias Nicolas,Santos,34061921,2001-07-16,2418
Jorge Daniel,Farías,24345397,1995-02-18,6325
Benjamin Nicolas,Duarte,20638513,1985-08-17,7535
Bautista Benjamin,Marini,34826793,1993-11-26,904
Santiago Sebastian,Marchi,33502432,1999-03-28,7021
Valentina Nicole,Reyes,32586665,1986-02-08,2143
Ana Valentina,Díaz,28059280,2000-11-14,2795
Martin Gabriel,Goicochea,26951350,1994-11-21,7555
Morena Valentina,Vera,33665597,1983-05-15,1184
Joaquin Leonel,Gonzales,29260697,1993-11-16,9899
Lucía Magalí,Pinedo,23540052,1985-06-02,2582
Matias Ignacio,Vera,31667744,2003-08-04,2725
Ignacio Sebastian,Sala,25236977,1997-03-06,4137
Santiago Jesus,Gonzales,24786958,1990-01-22,4801
Federico Ezequiel,Villalba,32207895,1999-12-27,2094
Marcos Daniel,Pérez,31143245,1984-06-27,8732
Mauricio,De Luca,25288511,1984-10-03,6556
Gabriel Nicolas,Pereyra,31673423,1999-07-09,6935
Nicolas Martin,Portillo,28881639,2001-04-04,4099
Samuel,Carranza,38764216,1993-05-11,1355
